The great are only great because we are on our knees. Let us rise!|Pierre-Joseph Proudhon|1809-1865|http://en.wikipedia.org/wiki/Pierre-Joseph_Proudhon
Laws: We know what they are, and what they are worth! They are spider webs for the rich and mighty, steel chains for the poor and weak, fishing nets in the hands of government.|Pierre-Joseph Proudhon|1809-1865|http://en.wikipedia.org/wiki/Pierre-Joseph_Proudhon
Property is theft!|Pierre-Joseph Proudhon|1809-1865|http://en.wikipedia.org/wiki/Pierre-Joseph_Proudhon
I build no system. I ask an end to privilege, the abolition of slavery, equality of rights, and the reign of law. Justice, nothing else. That is the alpha and omega of my argument.|Pierre-Joseph Proudhon|1809-1865|http://en.wikipedia.org/wiki/Pierre-Joseph_Proudhon
Where the state begins, individual liberty ceases, and vice versa.|Mikhail Bakunin|1814-1876|http://en.wikipedia.org/wiki/Bakunin
To revolt is a natural tendency of life. Even a worm turns against the foot that crushes it. In general, the vitality and relative dignity of an animal can be measured by the intensity of its instinct to revolt.|Mikhail Bakunin|1814-1876|http://en.wikipedia.org/wiki/Bakunin
Freedom, morality, and the human dignity of the individual consists precisely in this; that he does good not because he is forced to do so, but because he freely conceives it, wants it, and loves it.|Mikhail Bakunin|1814-1876|http://en.wikipedia.org/wiki/Bakunin
I am truly free only when all human beings, men and women, are equally free. The freedom of other men, far from negating or limiting my freedom, is, on the contrary, its necessary premise and confirmation.|Mikhail Bakunin|1814-1876|http://en.wikipedia.org/wiki/Bakunin
Does it follow that I reject all authority? Perish the thought. In the matter of boots, I defer to the authority of the boot-maker.|Mikhail Bakunin|1814-1876|http://en.wikipedia.org/wiki/Bakunin
The law is an adroit mixture of customs that are beneficial to society, and could be followed even if no law existed, and others that are of advantage to a ruling minority, but harmful to the masses of men, and can be enforced on them only by terror.|Peter Kropotkin|1842-1921|http://en.wikipedia.org/wiki/Kropotkin
Where there is authority, there is no freedom.|Peter Kropotkin|1842-1921|http://en.wikipedia.org/wiki/Kropotkin
All things for all men, since all men have need of them, since all men worked to produce them in the measure of their strength, and since it is not possible to evaluate everyone's part in the production of the world's wealth... All is for all!|Peter Kropotkin|1842-1921|http://en.wikipedia.org/wiki/Kropotkin
The most violent element in society is ignorance.|Emma Goldman|1869-1940|http://en.wikipedia.org/wiki/Emma_Goldman
If voting changed anything, they'd make it illegal.|Emma Goldman|1869-1940|http://en.wikipedia.org/wiki/Emma_Goldman
The political arena leaves one no alternative, one must either be a dunce or a rogue.|Emma Goldman|1869-1940|http://en.wikipedia.org/wiki/Emma_Goldman
Anarchism ... stands for direct action, the open defiance of, and resistance to, all laws and restrictions, economic, social, and moral.|Emma Goldman|1869-1940|http://en.wikipedia.org/wiki/Emma_Goldman
If the Nuremberg laws were applied, then every post-war American president would have been hanged.|Noam Chomsky|1928-|http://en.wikipedia.org/wiki/Noam_Chomsky
The more you can increase fear of drugs and crime, welfare mothers, immigrants and aliens, the more you control all the people.|Noam Chomsky|1928-|http://en.wikipedia.org/wiki/Noam_Chomsky
(Nationalism is) a set of beliefs taught to each generation in which the Motherland or the Fatherland is an object of veneration and becomes a burning cause for which one becomes willing to kill the children of other motherlands or fatherlands.|Howard Zinn|1922-|http://en.wikipedia.org/wiki/Howard_Zinn
There is no flag large enough to cover the shame of killing innocent people.|Howard Zinn|1922-|http://en.wikipedia.org/wiki/Howard_Zinn
Chaos is the score upon which reality is written.|Henry Miller|1891-1980|http://en.wikipedia.org/wiki/Henry_Miller
I shall tell you a great secret, my friend. Do not wait for the last judgment. It takes place every day.|Albert Camus|1913-1960|http://en.wikipedia.org/wiki/Albert_Camus
Reality is that which, when you stop believing in it, doesn't go away.|Phillip K Dick|1928-1982|http://en.wikipedia.org/wiki/Philip_K._Dick
The oppressed are allowed once every few years to decide which particular representatives of the oppressing class are to represent and repress them.|Karl Marx|1818-1883|http://en.wikipedia.org/wiki/Karl_Marx
From each according to his abilities, to each according to his needs.|Karl Marx|1818-1883|http://en.wikipedia.org/wiki/Karl_Marx
History does nothing; it does not possess immense riches, it does not fight battles. It is men, real, living, who do all this.|Karl Marx|1818-1883|http://en.wikipedia.org/wiki/Karl_Marx 
Religion is the sigh of the oppressed creature, the heart of a heartless world, and the soul of soulless conditions. It is the opium of the people.|Karl Marx|1818-1883|http://en.wikipedia.org/wiki/Karl_Marx
That's free enterprise, friends: freedom to gamble, freedom to lose. And the great thing -- the truly democratic thing about it -- is that you don't even have to be a player to lose.|Barbara Ehrenreich|1941-|http://en.wikipedia.org/wiki/Barbara_Ehrenreich
If you want to be free, there is but one way; it is to guarantee an equally full measure of liberty to all your neighbors. There is no other.|Carl Shurz|||
You can only protect your liberties in this world by protecting the other man's freedom. You can only be free if I am free.|Clarence Darrow|1857-1938|http://en.wikipedia.org/wiki/Clarence_Darrow
None are so hopelessly enslaved as those who falsely believe they are free.|Johann Wolfgang von Goethe|1749-1832|http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe
Under a government which imprisons any unjustly, the true place for a just man is also a prison.|Henry David Thoreau|1817-1852|http://en.wikipedia.org/wiki/Henry_Thoreau
Religion is regarded by the common people as true, by the wise as false, and by the rulers as useful.|Seneca the Younger|c. 4 BC – 65 AD|http://en.wikipedia.org/wiki/Seneca_the_younger
Heresy is only another word for freedom of thought.|Graham Greene|1904-1991|http://en.wikipedia.org/wiki/Graham_Greene
Every  normal man must be tempted at times, to spit on his hands, hoist the black flag, and begin slitting throats.|H. L. Mencken|1880-1956|http://en.wikipedia.org/wiki/H._L._Mencken
Giving money and power to government is like giving whiskey and car keys to teenage boys.|P.J. O'Rourke|1947-|http://en.wikipedia.org/wiki/P.J._O%27Rourkehttp://en.wikipedia.org/wiki/P.J._O%27Rourke
The main object of a revolution is the liberation of man... not the interpretation and application of some transcendental ideology.|Jean Genet|1910-1986|http://en.wikipedia.org/wiki/Jean_Genet
You never need an argument against the use of violence, you need an argument for it.|Noam Chomsky|1928-|http://en.wikipedia.org/wiki/Noam_Chomsky
Freedom is always the freedom of dissenters.|Rosa Luxemburg|1871-1919| http://en.wikipedia.org/wiki/Rosa_Luxemburg
Those who do not move, do not notice their chains.|Rosa Luxemburg|1871-1919| http://en.wikipedia.org/wiki/Rosa_Luxemburg
Government is an association of men who do violence to the rest of us.|Leo Tolstoy|1828-1910|http://en.wikipedia.org/wiki/Leo_tolstoy
The greater the state, the more wrong and cruel its patriotism, and the greater is the sum of suffering upon which its power is founded.|Leo Tolstoy|1828-1910|http://en.wikipedia.org/wiki/Leo_tolstoy 
The sole meaning of life is to serve humanity.|Leo Tolstoy|1828-1910|http://en.wikipedia.org/wiki/Leo_tolstoy  
Wanton killing of innocent civilians is terrorism, not a war against terrorism.|Noam Chomsky|1928-|http://en.wikipedia.org/wiki/Noam_Chomsky
Above all we should not forget that government is an evil, a usurpation upon the private judgement and individual conscience of mankind.|William Godwin|1756-1836|http://en.wikipedia.org/wiki/William_Godwin
God himself has no right to be a tyrant.|William Godwin|1756-1836|http://en.wikipedia.org/wiki/William_Godwin
Government will not fail to employ education, to strengthen its hands, and perpetuate its institutions.|William Godwin|1756-1836|http://en.wikipedia.org/wiki/William_Godwin
The proper method for hastening the decay of error is by teaching every man to think for himself.|William Godwin|1756-1836|http://en.wikipedia.org/wiki/William_Godwin
Propriety and single interest divides the people of a land and the whole world into parties and is the cause of all wars and bloodshed and contention everywhere.|Gerrard Winstanley|1609-1676|http://en.wikipedia.org/wiki/Gerrard_Winstanley
Those that Buy and Sell Land, and are landlords, have got it either by Oppression, or Murther, or Theft.|Gerrard Winstanley|1609-1676|http://en.wikipedia.org/wiki/Gerrard_Winstanley  
So long as the earth is intoagled and appropriated into particular hands and kept there by the power of the sword...so long the creation lies under bondage.|Gerrard Winstanley|1609-1676|http://en.wikipedia.org/wiki/Gerrard_Winstanley
The state calls its own violence law, but that of the individual crime.|Max Stirner|1806-1856|http://en.wikipedia.org/wiki/Max_Stirner
Aggression is simply another name for government.|Benjamin Tucker|1854-1939|http://en.wikipedia.org/wiki/Benjamin_Tucker
Freedom of conscience entails more dangers than authority and despotism.|Michel Foucault|1926-1984|http://en.wikipedia.org/wiki/Michel_Foucault
We know the road to freedom has always been stalked by death.|Angela Davis|1944-|http://en.wikipedia.org/wiki/Angela_Davis
Nobody can give you freedom. Nobody can give you equality or justice or anything. If you're a man, you take it.|Malcolm X|1925-1965|http://en.wikipedia.org/wiki/Malcolm_x
The strategic adversary is fascism... the fascism in us all, in our heads and in our everyday behavior, the fascism that causes us to love power, to desire the very thing that dominates and exploits us.|Michel Foucault|1926-1984|http://en.wikipedia.org/wiki/Michel_Foucault
In its function, the power to punish is not essentially different from that of curing or educating.|Michel Foucault|1926-1984|http://en.wikipedia.org/wiki/Michel_Foucault
The master's tools will never dismantle the master's house. They may allow us temporarily to beat him at his own game, but they will never allow us to bring about genuine change.|Audre Lorde|1934-1992|http://en.wikipedia.org/wiki/Audre_Lorde
